city,days,mean_aqi,median_aqi,max_aqi,p95_aqi
faisalabad,731,165.18705330357358,155.0,355.9166666666667,285.5208333333333
lahore,731,153.91938524491803,151.54166666666666,486.0833333333333,241.77083333333331
multan,731,151.85202498380013,148.29166666666666,327.8333333333333,243.45833333333331
sialkot,731,145.07084863321094,146.45833333333334,320.2083333333333,222.1875
islamabad,731,112.65390596875226,107.70833333333333,184.20833333333334,159.35416666666669
peshawar,731,112.23717030263758,108.08333333333333,175.625,157.72916666666669
abbottabad,731,98.55326457388342,93.20833333333333,169.83333333333334,147.64583333333331
karachi,731,88.14107687138502,83.20833333333333,160.83333333333334,130.125
hyderabad,731,87.98192454460364,81.5,170.875,139.95833333333331
quetta,731,82.4984094127247,75.25,281.625,142.72916666666669
