,aqi,pm2_5,pm10,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,shortwave_radiation
aqi,1.0,0.7702233314460889,0.5483793837263602,0.34887319832722563,0.024890856804425522,0.5985258410380941,0.5438296258309742,-0.147838217713616,0.13543736595981512,-0.018596162883602503,-0.13282750511444463,-0.04794825048098458,-0.047471826119618955,0.2970556383998065,-0.036564668396923274,-0.26666544405539033,-0.08151017867979014,-0.09129251659968156
pm2_5,0.7702233314460889,1.0,0.7006459491354888,0.582770298295392,-0.3076517452216354,0.6891369564039983,0.6956388455013534,-0.29813065072417294,0.292038260528295,-0.028379061114422698,-0.25785896331783525,-0.04926091840642427,-0.04886429028626602,0.2657108809011063,-0.02045988706626456,-0.26473374614827255,-0.0881801106601797,-0.24769565815550326
pm10,0.5483793837263602,0.7006459491354888,1.0,0.25235760113013705,-0.07428039141803433,0.36041186429497024,0.32914346152659907,-0.022511894949127552,0.06336100373000247,0.00663763828211161,-0.017668613684255357,-0.047263379578679245,-0.04700457192485773,0.04690833128833763,-0.024687180933456693,-0.06642359526760806,-0.05136831959097846,-0.05724980683332836
nitrogen_dioxide,0.34887319832722563,0.582770298295392,0.25235760113013705,1.0,-0.6314078391907965,0.5433273440048761,0.7067176730018663,-0.3250899220813177,0.2795844742445672,-0.037745311825375834,-0.2796729995793081,-0.046288243674220304,-0.04593860015828648,0.15665886187276148,-0.07580292933108863,-0.34559616454719116,-0.025087491416747907,-0.4955258668122148
ozone,0.024890856804425522,-0.3076517452216354,-0.07428039141803433,-0.6314078391907965,1.0,-0.08364501242059623,-0.3745022132705075,0.5005096284479784,-0.49341289514781606,0.026533900510525666,0.4253863849607871,0.009997637815857087,0.010143944166503466,-0.07405564313940159,-0.016074730252461197,0.13099469521105453,0.0068062019350357186,0.7434868921190061
sulphur_dioxide,0.5985258410380941,0.6891369564039983,0.36041186429497024,0.5433273440048761,-0.08364501242059623,1.0,0.6630030037415413,-0.17573530175884197,0.15350168534480715,-0.004458055407278979,-0.15561335973335386,-0.06000630454341961,-0.059541403055316765,0.43033566275187796,-0.0360135748977134,-0.1929986873215728,0.012413935558749176,-0.06369925780743131
carbon_monoxide,0.5438296258309742,0.6956388455013534,0.32914346152659907,0.7067176730018663,-0.3745022132705075,0.6630030037415413,1.0,-0.36985319243625214,0.254275283174274,-0.1088011383177583,-0.3371146048802774,-0.055021236878362544,-0.05472036271239219,0.2730047295643051,-0.046724280123751995,-0.3734753324193207,-0.02120317467134794,-0.2918684536429266
temperature_2m,-0.147838217713616,-0.29813065072417294,-0.022511894949127552,-0.3250899220813177,0.5005096284479784,-0.17573530175884197,-0.36985319243625214,1.0,-0.32544916113568934,0.5770391428951568,0.9726110085460055,-0.015306974945726292,-0.012599663425330304,0.26013165792568144,-0.03909256721169137,0.3843692321161349,0.020030687508839316,0.46789342663250016
relative_humidity_2m,0.13543736595981512,0.292038260528295,0.06336100373000247,0.2795844742445672,-0.49341289514781606,0.15350168534480715,0.254275283174274,-0.32544916113568934,1.0,0.5448884714560873,-0.12274839671657918,0.16541629347992165,0.16462563328493987,0.2100184427927532,0.2510145380171853,-0.03613478383982647,-0.10257173556474052,-0.49035176632470673
dew_point_2m,-0.018596162883602503,-0.028379061114422698,0.00663763828211161,-0.037745311825375834,0.026533900510525666,-0.004458055407278979,-0.1088011383177583,0.5770391428951568,0.5448884714560873,1.0,0.7328785549265621,0.09959270269058229,0.10159034180406479,0.43293285517955554,0.15958391585954637,0.29152244049678205,-0.08520887196442746,-0.016155187803974083
apparent_temperature,-0.13282750511444463,-0.25785896331783525,-0.017668613684255357,-0.2796729995793081,0.4253863849607871,-0.15561335973335386,-0.3371146048802774,0.9726110085460055,-0.12274839671657918,0.7328785549265621,1.0,0.013418509020963833,0.016174769350782648,0.2990240447115485,0.008228643510410357,0.3450383104261026,-0.0071794801226434625,0.3974034836398384
precipitation,-0.04794825048098458,-0.04926091840642427,-0.047263379578679245,-0.046288243674220304,0.009997637815857087,-0.06000630454341961,-0.055021236878362544,-0.015306974945726292,0.16541629347992165,0.09959270269058229,0.013418509020963833,1.0,0.9978724728727295,-0.02603541373827848,0.20590871255955634,0.06828145042037935,-0.05796780220640543,-0.035807498550467866
