,missing_percent
apparent_temperature,0.0
cloud_cover,0.0
dew_point_2m,0.0
precipitation,0.0
rain,0.0
relative_humidity_2m,0.0
shortwave_radiation,0.0
surface_pressure,0.0
temperature_2m,0.0
timestamp,0.0
wind_direction_10m,0.0
wind_speed_10m,0.0
carbon_monoxide,0.0
nitrogen_dioxide,0.0
ozone,0.0
pm10,0.0
pm2_5,0.0
sulphur_dioxide,0.0
us_aqi,0.0
us_aqi_carbon_monoxide,0.0
us_aqi_nitrogen_dioxide,0.0
us_aqi_ozone,0.0
us_aqi_pm10,0.0
us_aqi_pm2_5,0.0
us_aqi_sulphur_dioxide,0.0
computed_us_aqi_pm2_5,0.0
computed_us_aqi_pm10,0.0
lead_1d_cloud_cover,0.0
lead_1d_dew_point_2m,0.0
lead_1d_precipitation,0.0
lead_1d_relative_humidity_2m,0.0
lead_1d_shortwave_radiation,0.0
lead_1d_surface_pressure,0.0
lead_1d_temperature_2m,0.0
lead_1d_wind_direction_10m,0.0
lead_1d_wind_speed_10m,0.0
lead_2d_cloud_cover,0.0
lead_2d_dew_point_2m,0.0
lead_2d_precipitation,0.0
lead_2d_relative_humidity_2m,0.0
lead_2d_shortwave_radiation,0.0
lead_2d_surface_pressure,0.0
lead_2d_temperature_2m,0.0
lead_2d_wind_direction_10m,0.0
lead_2d_wind_speed_10m,0.0
lead_3d_cloud_cover,0.0
lead_3d_dew_point_2m,0.0
lead_3d_precipitation,0.0
lead_3d_relative_humidity_2m,0.0
lead_3d_shortwave_radiation,0.0
lead_3d_surface_pressure,0.0
lead_3d_temperature_2m,0.0
lead_3d_wind_direction_10m,0.0
lead_3d_wind_speed_10m,0.0
city,0.0
province,0.0
latitude,0.0
longitude,0.0
elevation_m,0.0
data_source,0.0
ingested_at,0.0
aqi,0.0
local_date,0.0
year,0.0
month,0.0
hour,0.0
weekday,0.0
season,0.0
