feature,importance
pm2_5__mean__ewm7,5.4018814845389755
us_aqi__mean__ewm7,4.156346614555163
pm2_5__mean,3.994099383361175
future_wind_speed_10m__mean,2.6768572183641157
aqi_city_month_climatology,2.391775472352356
future_wind_direction_10m__min,1.8522017066721044
target_doy_cos,1.704629969497214
pm2_5__mean__roll14_mean,1.6722568325299696
future_wind_v,1.423958002616971
future_temperature_2m__max,1.419453753725376
pm10__max__roll21_mean,1.361869084400248
us_aqi__mean__roll21_mean,1.3070099674934808
pm2_5__max,1.0449975261047182
future_temperature_2m__mean,0.9395832871918607
us_aqi__max__roll21_mean,0.9301923180061685
pm2_5__max__roll7_mean,0.9187391650352176
us_aqi__max__roll7_q25,0.8736791376872601
us_aqi__max__roll14_q25,0.8510003247261235
us_aqi__max__ewm7,0.8371585873275155
future_ventilation_proxy,0.822883492209402
pm2_5__mean__roll14_q25,0.7435657510347358
ozone__mean__trend7,0.7426047801101703
aqi_high_days_14,0.6349765883340976
pm2_5__mean__roll3_mean,0.6249133810411802
us_aqi__mean__roll14_mean,0.6067680458314801
province_Punjab,0.5486117856280563
target_doy_sin,0.5385067037032802
future_wind_speed_10m__min,0.5320876256473159
cloud_cover__mean,0.49396483458960566
carbon_monoxide__mean__trend3,0.4596977537947449
